PAYMENT_ID,LOAN_ID,DUE_DATE,PAID_DATE,AMOUNT_PAID,STATUS
PAY04125,LOAN20656,2024-02-01,2024-02-02,42963.39,Bounced
PAY05733,LOAN21159,2024-05-01,2024-04-30,30742.02,Paid
PAY09816,LOAN21734,2025-03-01,,0,Skipped
PAY04874,LOAN20124,2024-02-01,2024-01-23,16654.08,Paid
PAY06962,LOAN21532,2023-09-01,,0,Skipped
PAY11414,LOAN20512,2024-09-01,2024-08-26,52695.71,Paid
PAY18225,LOAN20439,2025-04-01,2025-03-25,15187.78,Paid
PAY05492,LOAN21856,2024-09-01,2024-09-23,62237.74,Late
PAY01003,LOAN20114,2023-02-01,2023-01-27,23840.62,Paid
PAY10726,LOAN21964,2023-01-01,2022-12-30,61813.85,Paid
PAY12141,LOAN20951,2025-01-01,2024-12-22,63486.38,Paid
PAY16068,LOAN20525,2022-03-01,2022-05-02,111068.29,Late
PAY09097,LOAN20213,2022-11-01,2022-11-02,20559.59,Paid
PAY13666,LOAN20904,2025-05-01,2025-04-21,82757.86,Paid
PAY00597,LOAN21945,2024-04-01,2024-03-26,58983.03,Paid
PAY16127,LOAN20877,2024-01-01,2023-12-29,68398.54,Paid
PAY02868,LOAN21592,2024-04-01,2024-03-22,59354.15,Paid
PAY16756,LOAN21968,2023-03-01,2023-05-06,82495.03,Late
PAY05711,LOAN21838,2023-11-01,2023-10-30,67790.69,Paid
PAY03421,LOAN20240,2025-06-01,,0,Skipped
PAY07970,LOAN20882,2022-04-01,2022-03-27,43406.14,Paid
PAY09558,LOAN20564,2023-04-01,,0,Skipped
PAY17039,LOAN21918,2023-12-01,2023-11-22,51465.08,Paid
PAY16616,LOAN21723,2022-08-01,2022-07-30,63318.91,Paid
PAY09673,LOAN20141,2024-04-01,2024-03-24,79256.99,Paid
PAY18015,LOAN20067,2023-09-01,2023-08-26,67848.58,Paid
PAY01661,LOAN21452,2023-04-01,2023-04-02,2128.93,Paid
PAY10488,LOAN21960,2024-06-01,2024-05-29,58411.78,Paid
PAY07702,LOAN21821,2025-03-01,2025-05-07,68443.49,Late
PAY14758,LOAN21394,2024-03-01,2024-03-06,23875.60311,Partial
PAY02503,LOAN20140,2024-03-01,2024-02-22,49820.29,Paid
PAY13601,LOAN20196,2024-07-01,2024-06-25,69117.19,Paid
PAY06489,LOAN20200,2025-06-01,2025-08-19,34410,Late
PAY08217,LOAN21399,2025-02-01,2025-02-27,37514,Late
PAY15405,LOAN20834,2024-01-01,2023-12-22,76515.34,Paid
PAY07205,LOAN21807,2023-12-01,2023-12-04,6046.59,Late
PAY03180,LOAN21461,2023-08-01,2023-10-12,43711.05,Late
PAY15295,LOAN21938,2024-11-01,2024-12-07,12678.9,Late
PAY10120,LOAN20322,2023-01-01,2023-01-30,11208.62,Late
PAY12920,LOAN20655,2022-12-01,2022-11-26,67642.47,Paid
PAY09035,LOAN20553,2023-07-01,2023-07-14,39151.58482,Partial
PAY13686,LOAN20761,2022-08-01,2022-08-06,13176.69369,Partial
PAY15288,LOAN21135,2024-05-01,2024-05-01,88795.18,Paid
PAY17224,LOAN21652,2024-06-01,2024-05-28,128035.75,Paid
PAY04404,LOAN20228,2023-12-01,2024-01-07,41253.82,Late
PAY04527,LOAN20583,2023-06-01,2023-06-01,5666.89,Paid
PAY11924,LOAN20398,2024-09-01,2024-09-01,35754.72,Paid
PAY09414,LOAN20333,2023-12-01,2023-11-27,20589.05,Paid
PAY17845,LOAN20719,2023-12-01,2023-12-02,16716.88,Paid
PAY04210,LOAN20314,2023-06-01,2023-05-30,68221.99,Paid
PAY02765,LOAN20662,2025-01-01,2024-12-26,27494.25,Paid
PAY12831,LOAN21227,2023-06-01,2023-05-28,20023.71,Paid
PAY17596,LOAN21476,2025-06-01,2025-05-22,27078.83,Paid
PAY09664,LOAN20141,2023-07-01,2023-06-24,79256.99,Paid
PAY05332,LOAN20695,2022-02-01,,0,Skipped
PAY02989,LOAN21884,2025-03-01,2025-04-06,54150.2,Late
PAY14739,LOAN21394,2022-08-01,2022-07-28,28450.14,Paid
PAY04235,LOAN21320,2022-12-01,2022-11-25,63220.29,Paid
PAY03994,LOAN21412,2023-08-01,2023-08-05,49929.57,Bounced
PAY14911,LOAN20584,2024-09-01,2024-08-31,56176.26,Paid
PAY14305,LOAN21789,2023-04-01,2023-04-02,17384.05,Paid
PAY04174,LOAN20145,2024-03-01,2024-02-22,34715.15,Paid
PAY04232,LOAN20314,2025-04-01,2025-03-26,68221.99,Paid
PAY06539,LOAN21654,2024-11-01,2024-10-29,75382.84,Paid
PAY06703,LOAN21977,2024-06-01,2024-05-30,65665,Paid
PAY13759,LOAN20784,2025-04-01,2025-04-10,31866.3652,Partial
PAY03652,LOAN20269,2024-05-01,2024-04-23,46311.32,Paid
PAY11237,LOAN21012,2024-02-01,2024-01-25,39820.05,Paid
PAY11591,LOAN21046,2022-09-01,2022-08-30,56606.42,Paid
PAY10696,LOAN20544,2023-12-01,2023-11-24,90263.35,Paid
PAY04003,LOAN21412,2024-05-01,2024-04-30,49929.57,Paid
PAY02524,LOAN20402,2023-11-01,,0,Skipped
PAY10057,LOAN21914,2025-05-01,2025-04-26,46863.93,Paid
PAY03982,LOAN21412,2022-08-01,2022-08-03,49929.57,Bounced
PAY05205,LOAN20767,2022-05-01,,0,Skipped
PAY03469,LOAN20729,2022-11-01,2022-10-23,21970.72,Paid
PAY01795,LOAN20751,2022-10-01,2022-09-27,64231.14,Paid
PAY10705,LOAN20544,2024-09-01,2024-08-26,90263.35,Paid
PAY06593,LOAN21346,2023-04-01,2023-03-26,77141.96,Paid
PAY17475,LOAN21906,2024-09-01,2024-09-02,56097.18,Paid
PAY04450,LOAN21001,2024-02-01,,0,Skipped
PAY14135,LOAN21635,2023-09-01,2023-08-26,5372.87,Paid
PAY03728,LOAN20998,2022-10-01,2022-10-03,62057.16,Bounced
PAY04740,LOAN21283,2023-11-01,2023-10-31,68714.43,Paid
PAY05554,LOAN21982,2024-03-01,2024-03-02,63514.03,Paid
PAY02556,LOAN21293,2023-05-01,2023-04-21,27557.37,Paid
PAY17551,LOAN21080,2025-01-01,,0,Skipped
PAY15198,LOAN21781,2024-08-01,,0,Skipped
PAY15712,LOAN20977,2023-05-01,2023-04-26,87258.16,Paid
PAY04376,LOAN21233,2024-09-01,2024-08-26,47489.65,Paid
PAY02824,LOAN20461,2023-12-01,2023-11-27,1954.85,Paid
PAY17757,LOAN21057,2023-01-01,,0,Skipped
PAY15856,LOAN21791,2022-09-01,2022-08-25,11055.29,Paid
PAY04643,LOAN21990,2024-09-01,2024-08-27,54179.41,Paid
PAY04954,LOAN20935,2021-09-01,2021-08-30,1388.57,Paid
PAY13549,LOAN20110,2025-06-01,2025-05-26,29239.98,Paid
PAY07103,LOAN20036,2022-08-01,2022-08-04,26164.45,Bounced
PAY01851,LOAN20293,2024-11-01,2024-10-22,57206.02,Paid
PAY12333,LOAN21215,2024-11-01,2024-10-29,83403.14,Paid
PAY13387,LOAN20450,2022-09-01,2022-09-07,55053.38,Bounced
PAY02058,LOAN20317,2024-12-01,2024-12-10,11514.26682,Partial
PAY05310,LOAN21721,2024-04-01,2024-03-24,59351.16,Paid
PAY10482,LOAN21960,2023-12-01,2023-11-26,58411.78,Paid
PAY06132,LOAN21731,2025-03-01,2025-02-25,66965.15,Paid
PAY11423,LOAN21171,2025-02-01,2025-01-23,67063.13,Paid
PAY11819,LOAN21472,2025-03-01,2025-03-12,38253.44519,Partial
PAY15722,LOAN20855,2025-03-01,,0,Skipped
PAY09015,LOAN20589,2024-12-01,2024-11-28,64974.66,Paid
PAY11695,LOAN20939,2023-03-01,2023-02-28,56893.05,Paid
PAY09539,LOAN20564,2021-09-01,,0,Skipped
PAY08914,LOAN20668,2025-02-01,2025-01-25,55995.38,Paid
PAY07848,LOAN21126,2022-02-01,,0,Skipped
PAY00726,LOAN20445,2023-07-01,2023-06-27,51141.51,Paid
PAY16810,LOAN20481,2023-12-01,2023-12-05,4658.237831,Partial
PAY03666,LOAN20937,2023-05-01,2023-04-25,12836.45,Paid
PAY00113,LOAN20885,2024-06-01,2024-05-29,22309.83,Paid
PAY09687,LOAN20141,2025-06-01,2025-05-29,79256.99,Paid
PAY11109,LOAN21429,2023-06-01,2023-06-02,7987.972982,Partial
PAY01489,LOAN20671,2024-09-01,2024-08-31,14367.88,Paid
PAY10155,LOAN20414,2025-04-01,,0,Skipped
PAY00234,LOAN20453,2024-07-01,2024-06-24,22195.74,Paid
PAY01796,LOAN20751,2022-11-01,2022-10-30,64231.14,Paid
PAY01647,LOAN20004,2024-11-01,2024-11-01,29157.46,Bounced
PAY03606,LOAN21041,2022-06-01,2022-05-31,44683.9,Paid
PAY07689,LOAN20142,2025-01-01,2024-12-27,73687.19,Paid
PAY14778,LOAN20991,2023-08-01,2023-07-22,21965.18,Paid
PAY03436,LOAN21825,2025-04-01,2025-04-02,56999.9,Paid
PAY10167,LOAN21682,2022-10-01,2022-09-23,62617.99,Paid
PAY06294,LOAN20782,2024-05-01,2024-05-02,39911.32,Paid
PAY18279,LOAN21331,2025-03-01,2025-02-22,78961.14,Paid
PAY03284,LOAN20892,2024-12-01,2024-11-29,26135.85,Paid
PAY07898,LOAN21993,2025-01-01,2024-12-30,54994.12,Paid
PAY17771,LOAN21057,2024-03-01,2024-03-02,86895.16436,Partial
PAY18097,LOAN20116,2024-01-01,2023-12-29,32813.73,Paid
PAY17201,LOAN20130,2024-04-01,2024-03-29,42904.07,Paid
PAY12028,LOAN20244,2023-05-01,2023-05-05,92498.48,Bounced
PAY16557,LOAN20800,2025-01-01,2024-12-27,60355.49,Paid
PAY06187,LOAN20133,2022-06-01,2022-05-30,64193.95,Paid
PAY00982,LOAN20774,2025-02-01,,0,Skipped
PAY00047,LOAN20639,2024-02-01,2024-02-15,34400.17784,Partial
PAY12583,LOAN20916,2025-02-01,2025-02-10,9213.378401,Partial
PAY07011,LOAN20498,2024-05-01,,0,Skipped
PAY09269,LOAN20001,2022-05-01,2022-04-25,6284.93,Paid
PAY05143,LOAN20963,2025-01-01,2025-01-02,34530.39,Paid
PAY00434,LOAN21355,2025-06-01,2025-05-31,50608.19,Paid
PAY07756,LOAN20994,2024-06-01,2024-05-25,43624.3,Paid
PAY07541,LOAN21136,2025-06-01,2025-06-07,13822.25,Bounced
PAY00195,LOAN20410,2024-06-01,2024-06-01,38329.54,Paid
PAY12283,LOAN20905,2024-08-01,2024-07-26,70386.53,Paid
PAY07686,LOAN20142,2024-10-01,2024-09-29,73687.19,Paid
PAY00156,LOAN20966,2024-07-01,2024-06-21,28154.15,Paid
PAY01148,LOAN20494,2024-10-01,,0,Skipped
PAY18096,LOAN20116,2023-12-01,2023-11-26,32813.73,Paid
PAY15639,LOAN21509,2023-07-01,,0,Skipped
PAY09499,LOAN20168,2024-06-01,,0,Skipped
PAY01649,LOAN20004,2025-01-01,2025-02-07,29157.46,Late
PAY11728,LOAN20852,2024-02-01,2024-01-27,44193.74,Paid
PAY06971,LOAN21532,2024-06-01,2024-06-07,49508.61,Bounced
PAY12282,LOAN20905,2024-07-01,2024-06-25,70386.53,Paid
PAY09274,LOAN20001,2022-10-01,2022-09-27,6284.93,Paid
PAY08378,LOAN21742,2025-02-01,2025-02-23,46062.23,Late
PAY08550,LOAN20546,2025-06-01,2025-05-25,38221.99,Paid
PAY18107,LOAN20116,2024-11-01,2024-10-30,32813.73,Paid
PAY04029,LOAN20030,2023-08-01,2023-07-28,56294.65,Paid
PAY12383,LOAN20321,2022-06-01,2022-06-02,35942.2,Paid
PAY11487,LOAN20982,2022-12-01,,0,Skipped
PAY05373,LOAN21569,2023-04-01,2023-03-22,12818.94,Paid
PAY12427,LOAN20330,2023-09-01,2023-09-22,2080.34,Late
PAY10954,LOAN20457,2025-02-01,2025-02-01,26663.15,Paid
PAY15570,LOAN21596,2025-04-01,2025-03-24,44974.25,Paid
PAY02387,LOAN21085,2024-03-01,2024-02-23,50760.12,Paid
PAY11188,LOAN21769,2023-10-01,2023-10-02,66605.78,Paid
PAY15391,LOAN20834,2022-11-01,2022-10-25,76515.34,Paid
PAY02456,LOAN21453,2023-11-01,2023-10-29,56091.3,Paid
PAY11943,LOAN20309,2024-12-01,2024-11-30,31900.11,Paid
PAY17687,LOAN21858,2023-01-01,2022-12-29,114314.9,Paid
PAY00459,LOAN20840,2023-10-01,2023-09-29,47735.49,Paid
PAY18056,LOAN20077,2021-12-01,2021-11-23,116343.78,Paid
PAY17236,LOAN21297,2024-02-01,2024-01-29,110651.43,Paid
PAY12952,LOAN21043,2022-07-01,2022-06-30,3349.12,Paid
PAY06302,LOAN20782,2025-01-01,2024-12-27,39911.32,Paid
PAY05846,LOAN21756,2024-07-01,2024-06-23,47854.76,Paid
PAY01061,LOAN21266,2024-09-01,2024-08-28,29192.38,Paid
PAY12334,LOAN21215,2024-12-01,2024-11-23,83403.14,Paid
PAY12288,LOAN20905,2025-01-01,2024-12-25,70386.53,Paid
PAY02376,LOAN20530,2025-02-01,2025-01-30,65566.86,Paid
PAY17366,LOAN21637,2024-08-01,2024-07-26,114533.04,Paid
PAY09323,LOAN20017,2024-10-01,2024-09-25,14311.2,Paid
PAY05842,LOAN21756,2024-03-01,2024-02-23,47854.76,Paid
PAY14954,LOAN21090,2024-10-01,2024-10-03,80847.18,Paid
PAY10034,LOAN21914,2023-06-01,2023-06-06,46863.93,Late
PAY03938,LOAN20510,2025-01-01,2024-12-28,23848.85,Paid
PAY16427,LOAN20259,2022-06-01,2022-05-28,115466.86,Paid
PAY08101,LOAN21059,2024-07-01,2024-07-06,56264.6,Bounced
PAY13063,LOAN21604,2022-03-01,2022-03-01,10534.22061,Partial
PAY04892,LOAN21617,2022-04-01,2022-04-03,47503.22,Bounced
PAY02816,LOAN20461,2023-04-01,2023-03-24,1954.85,Paid
PAY17252,LOAN21297,2025-06-01,2025-05-27,110651.43,Paid
PAY11972,LOAN21327,2024-12-01,2024-12-02,24075.53,Paid
PAY00683,LOAN20287,2023-11-01,,0,Skipped
PAY17964,LOAN21367,2024-09-01,2024-08-26,44696.07,Paid
PAY04844,LOAN20696,2023-05-01,2023-04-21,33026.51,Paid
PAY06914,LOAN20263,2024-06-01,,0,Skipped
PAY01404,LOAN20928,2024-02-01,2024-02-26,17216.72,Late
PAY16325,LOAN21632,2025-05-01,2025-04-23,106932,Paid
PAY07935,LOAN21795,2022-11-01,2022-11-13,2811.283529,Partial
PAY04456,LOAN21001,2024-08-01,2024-08-04,30881.06,Bounced
PAY01154,LOAN20494,2025-04-01,,0,Skipped
PAY10067,LOAN21335,2025-06-01,2025-06-03,78940.9,Paid
PAY10771,LOAN21839,2022-11-01,2022-10-23,56634.74,Paid
PAY11926,LOAN20398,2024-11-01,2024-11-01,35754.72,Paid
PAY12422,LOAN20330,2023-04-01,2023-04-06,2080.34,Bounced
PAY16096,LOAN20434,2023-05-01,2023-06-09,27288.31,Late
PAY03718,LOAN20998,2021-12-01,2021-12-11,39688.44299,Partial
PAY04560,LOAN20370,2023-03-01,,0,Skipped
PAY17802,LOAN21941,2022-01-01,2021-12-30,28712.8,Paid
PAY16079,LOAN20525,2023-02-01,,0,Skipped
PAY14066,LOAN20749,2023-08-01,2023-07-29,96446.27,Paid
PAY07765,LOAN20994,2025-03-01,2025-02-19,43624.3,Paid
PAY13896,LOAN21873,2024-11-01,,0,Skipped
PAY16648,LOAN20165,2024-08-01,2024-07-30,63855.17,Paid
PAY14782,LOAN20991,2023-12-01,2023-11-26,21965.18,Paid
PAY05024,LOAN21424,2024-12-01,2024-12-10,13421.84,Late
PAY15894,LOAN21039,2024-09-01,2024-08-29,88024.03,Paid
PAY12861,LOAN21315,2024-08-01,2024-08-23,60896.25,Late
PAY15201,LOAN21781,2024-11-01,2024-11-05,71698.93,Bounced
PAY07067,LOAN20308,2023-03-01,2023-02-23,60572.01,Paid
PAY04537,LOAN20583,2024-04-01,2024-05-24,5666.89,Late
PAY06281,LOAN20782,2023-04-01,2023-04-01,39911.32,Paid
PAY03207,LOAN20375,2022-03-01,,0,Skipped
PAY09795,LOAN21734,2023-06-01,,0,Skipped
PAY13248,LOAN21973,2023-01-01,,0,Skipped
PAY05523,LOAN20279,2025-04-01,2025-03-29,57900.41,Paid
PAY00412,LOAN20566,2024-06-01,2024-06-14,25688.47492,Partial
PAY07246,LOAN21387,2025-06-01,2025-08-12,20016.88,Late
PAY00238,LOAN20453,2024-11-01,2024-10-24,22195.74,Paid
PAY09129,LOAN20653,2021-12-01,2022-01-05,55263.29,Late
PAY00073,LOAN20713,2023-03-01,2023-03-12,3635.635432,Partial
PAY04179,LOAN20145,2024-08-01,2024-07-25,34715.15,Paid
PAY13965,LOAN21481,2023-04-01,2023-04-01,72894.43,Bounced
PAY01198,LOAN21523,2022-10-01,2022-10-01,19016.3,Paid
PAY03846,LOAN21200,2022-02-01,2022-01-23,62002.23,Paid
PAY08976,LOAN20007,2025-05-01,2025-04-23,15700.64,Paid
PAY10025,LOAN21914,2022-09-01,,0,Skipped
PAY18071,LOAN20077,2023-03-01,2023-02-27,116343.78,Paid
PAY02091,LOAN20144,2024-10-01,2024-12-19,50227.81,Late
PAY10872,LOAN20132,2024-04-01,2024-03-23,62943.62,Paid
PAY14267,LOAN21432,2022-05-01,2022-04-21,100532.54,Paid
PAY01524,LOAN21339,2024-10-01,2024-09-25,45788.42,Paid
PAY16473,LOAN20921,2023-09-01,,0,Skipped
PAY17889,LOAN20863,2021-07-01,2021-08-20,3166.94,Late
PAY15923,LOAN21885,2023-04-01,,0,Skipped
PAY06600,LOAN21346,2023-11-01,2023-10-25,77141.96,Paid
PAY15282,LOAN21135,2023-11-01,2023-10-24,88795.18,Paid
PAY15536,LOAN20125,2024-10-01,2024-10-01,113105,Paid
PAY13042,LOAN21905,2024-03-01,,0,Skipped
PAY17386,LOAN21766,2024-07-01,,0,Skipped
PAY14129,LOAN20851,2025-02-01,2025-02-01,31430.1,Bounced
PAY02404,LOAN20663,2022-05-01,2022-04-21,20323.03,Paid
PAY17013,LOAN20841,2022-10-01,2022-09-23,121477.26,Paid
PAY09521,LOAN20183,2024-01-01,2023-12-26,4367.68,Paid
PAY14448,LOAN20099,2024-05-01,,0,Skipped
PAY11435,LOAN21111,2023-01-01,2022-12-30,41351.95,Paid
PAY05367,LOAN20695,2025-01-01,2025-01-07,52791.39,Late
PAY02549,LOAN21293,2022-10-01,2022-10-02,27557.37,Paid
PAY05435,LOAN21900,2023-03-01,2023-02-28,57565.97,Paid
PAY15215,LOAN21765,2023-12-01,2023-12-06,50086.27,Bounced
PAY08452,LOAN21383,2023-07-01,2023-07-28,43908.42,Late
PAY05577,LOAN20948,2023-05-01,2023-05-03,27086.9776,Partial
PAY09190,LOAN21605,2024-06-01,2024-05-25,58718.28,Paid
PAY17899,LOAN20863,2022-05-01,2022-05-01,3166.94,Bounced
PAY13985,LOAN21481,2024-12-01,2024-11-28,72894.43,Paid
PAY05495,LOAN21856,2024-12-01,2024-12-03,62237.74,Bounced
PAY04645,LOAN21990,2024-11-01,2024-10-27,54179.41,Paid
PAY16303,LOAN20400,2025-06-01,2025-06-05,49725.04,Bounced
PAY12301,LOAN21395,2023-11-01,2023-10-28,100269.57,Paid
PAY13521,LOAN21939,2024-11-01,,0,Skipped
PAY15336,LOAN20682,2025-03-01,2025-04-25,86576.4,Late
PAY07811,LOAN21870,2022-12-01,2022-11-26,15405.32,Paid
PAY03000,LOAN21199,2024-08-01,2024-07-31,22207.13,Paid
PAY08613,LOAN21898,2023-12-01,2023-11-22,17258.54,Paid
PAY02006,LOAN20641,2024-02-01,2024-01-28,22913.81,Paid
PAY09345,LOAN21854,2023-08-01,2023-07-23,37103.27,Paid
PAY07649,LOAN20142,2021-09-01,2021-08-31,73687.19,Paid
PAY04367,LOAN21233,2023-12-01,2023-11-21,47489.65,Paid
PAY06558,LOAN20459,2024-12-01,2024-12-03,46511.36,Bounced
PAY08609,LOAN21898,2023-08-01,2023-07-31,17258.54,Paid
PAY15287,LOAN21135,2024-04-01,2024-04-02,88795.18,Paid
PAY16128,LOAN20877,2024-02-01,2024-01-26,68398.54,Paid
PAY16211,LOAN21363,2022-07-01,2022-06-27,3025.94,Paid
PAY14707,LOAN20680,2021-12-01,2021-11-28,108613.11,Paid
PAY04289,LOAN20489,2024-10-01,2024-09-25,74419.59,Paid
PAY09128,LOAN20213,2025-06-01,,0,Skipped
PAY15180,LOAN20828,2022-11-01,2022-11-02,37621.19,Paid
PAY10032,LOAN21914,2023-04-01,2023-04-03,37971.99664,Partial
PAY11298,LOAN21040,2025-04-01,2025-04-07,57393.2,Late
PAY06500,LOAN21056,2024-05-01,2024-06-16,41824.13,Late
PAY11117,LOAN21429,2024-02-01,,0,Skipped
PAY07210,LOAN21807,2024-05-01,2024-04-27,6046.59,Paid
PAY17608,LOAN20581,2022-08-01,2022-07-28,118783.38,Paid
PAY00629,LOAN21074,2025-06-01,2025-06-05,6279.580033,Partial
PAY14965,LOAN20670,2023-10-01,2023-09-26,105660.98,Paid
PAY08983,LOAN20589,2022-04-01,2022-03-22,64974.66,Paid
PAY03868,LOAN21200,2023-12-01,2023-12-01,62002.23,Paid
PAY18228,LOAN20413,2025-04-01,2025-03-29,85869.66,Paid
PAY00745,LOAN20445,2025-02-01,2025-01-26,51141.51,Paid
PAY08761,LOAN21404,2025-05-01,2025-05-01,3904.16,Paid
PAY07048,LOAN20643,2024-12-01,2025-02-17,58917.22,Late
PAY12109,LOAN21211,2024-03-01,2024-02-22,34074.75,Paid
PAY15350,LOAN21852,2025-04-01,2025-03-25,106031.54,Paid
PAY14815,LOAN20153,2024-02-01,2024-01-23,93695.99,Paid
PAY10081,LOAN20605,2022-12-01,2022-11-27,66539.96,Paid
PAY14444,LOAN20099,2024-01-01,2024-01-04,71341.29,Bounced
PAY13854,LOAN20422,2024-11-01,2024-10-26,59764.07,Paid
PAY00030,LOAN20441,2024-12-01,2024-12-08,2463.072375,Partial
PAY17833,LOAN20719,2022-12-01,2022-11-27,16716.88,Paid
PAY12115,LOAN21211,2024-09-01,2024-08-29,34074.75,Paid
PAY11954,LOAN20750,2024-08-01,2024-07-22,62009.53,Paid
PAY16912,LOAN21448,2024-03-01,2024-05-08,114640.93,Late
PAY07318,LOAN21122,2024-05-01,2024-05-04,17794.59,Bounced
PAY10523,LOAN21622,2024-07-01,2024-06-28,63940.19,Paid
PAY10008,LOAN21707,2024-09-01,,0,Skipped
PAY08181,LOAN21996,2022-10-01,2022-09-26,5619.52,Paid
PAY08199,LOAN21996,2024-04-01,2024-03-23,5619.52,Paid
PAY15577,LOAN21485,2022-05-01,2022-04-30,10222.91,Paid
PAY13863,LOAN20224,2023-01-01,2023-01-07,101035.79,Bounced
PAY11121,LOAN21429,2024-06-01,,0,Skipped
PAY03149,LOAN20234,2023-11-01,2023-11-02,18212.25,Bounced
PAY04470,LOAN20970,2021-11-01,2021-10-26,36839.04,Paid
PAY09966,LOAN20779,2025-01-01,2025-03-25,37008.45,Late
PAY06390,LOAN21323,2025-03-01,2025-02-25,56049.98,Paid
PAY00510,LOAN21743,2025-06-01,2025-06-02,32592.61685,Partial
PAY02599,LOAN20292,2024-09-01,2024-09-02,13179.81,Paid
PAY13517,LOAN21939,2024-07-01,2024-07-02,30896.7,Bounced
PAY04108,LOAN20656,2022-09-01,,0,Skipped
PAY12840,LOAN21227,2024-03-01,2024-02-28,20023.71,Paid
PAY00844,LOAN21790,2024-09-01,,0,Skipped
PAY04110,LOAN20656,2022-11-01,2023-01-24,42963.39,Late
PAY00560,LOAN20079,2025-04-01,2025-03-27,28712.83,Paid
PAY02975,LOAN21594,2025-04-01,2025-04-02,5159.58,Bounced
PAY06151,LOAN21146,2023-06-01,2023-06-03,64849.76,Bounced
PAY05062,LOAN21201,2022-09-01,2022-11-18,65443.82,Late
PAY08622,LOAN21898,2024-09-01,2024-08-25,17258.54,Paid
PAY08235,LOAN20177,2022-06-01,2022-05-29,41459.68,Paid
PAY16996,LOAN21152,2023-04-01,,0,Skipped
PAY11983,LOAN20291,2023-03-01,2023-03-10,23692.6843,Partial
PAY01924,LOAN20343,2025-06-01,2025-06-16,65523.45,Late
PAY10622,LOAN21995,2022-07-01,2022-07-09,10873.76294,Partial
PAY13027,LOAN21905,2022-12-01,2022-11-30,31765.94,Paid
PAY04176,LOAN20145,2024-05-01,2024-04-28,34715.15,Paid
PAY01094,LOAN20602,2022-08-01,2022-07-29,44047.17,Paid
PAY05543,LOAN21982,2023-04-01,,0,Skipped
PAY07330,LOAN21122,2025-05-01,2025-04-28,17794.59,Paid
PAY12585,LOAN20916,2025-04-01,2025-04-03,17415.31,Bounced
PAY01751,LOAN20837,2022-12-01,2023-02-09,28054.94,Late
PAY04819,LOAN21923,2024-07-01,2024-07-06,49691.95,Bounced
PAY06708,LOAN21977,2024-11-01,2024-10-31,65665,Paid
PAY12501,LOAN20978,2025-05-01,2025-04-21,29543.14,Paid
PAY07491,LOAN20746,2024-02-01,2024-02-02,39957.47,Bounced
PAY06881,LOAN21688,2024-11-01,2024-10-23,7466.21,Paid
PAY04563,LOAN20370,2023-06-01,2023-07-18,39000.98,Late
PAY06601,LOAN21346,2023-12-01,2023-11-28,77141.96,Paid
PAY02096,LOAN20144,2025-03-01,2025-03-01,50227.81,Bounced
PAY17520,LOAN20316,2023-03-01,2023-02-23,98585.66,Paid
PAY11421,LOAN21171,2024-12-01,2024-11-23,67063.13,Paid
PAY07224,LOAN21387,2023-08-01,2023-08-31,20016.88,Late
PAY07948,LOAN21795,2023-12-01,2023-12-07,5827.94,Bounced
PAY04236,LOAN21320,2023-01-01,2022-12-28,63220.29,Paid
PAY10441,LOAN21716,2023-12-01,2023-12-05,10821.41078,Partial
PAY04637,LOAN21990,2024-03-01,2024-02-26,54179.41,Paid
PAY02715,LOAN21954,2024-06-01,2024-06-01,35011.99,Paid
PAY10361,LOAN20748,2024-12-01,2024-12-02,32247.02,Paid
PAY14316,LOAN21789,2024-03-01,2024-02-27,17384.05,Paid
PAY16133,LOAN20877,2024-07-01,2024-06-26,68398.54,Paid
PAY00276,LOAN20809,2025-02-01,2025-02-05,7738.125435,Partial
PAY16080,LOAN20525,2023-03-01,2023-02-24,111068.29,Paid
PAY02328,LOAN20592,2024-10-01,2024-09-30,28401.23,Paid
PAY12007,LOAN20291,2025-03-01,2025-03-02,46443.96394,Partial
PAY07137,LOAN20036,2025-06-01,2025-06-04,26164.45,Bounced
PAY05168,LOAN20549,2023-04-01,2023-03-24,61156.61,Paid
PAY10772,LOAN21839,2022-12-01,2022-11-22,56634.74,Paid
PAY07517,LOAN21206,2024-10-01,2024-10-07,18623.45,Bounced
PAY14270,LOAN21432,2022-08-01,2022-08-01,100532.54,Paid
PAY12234,LOAN20053,2021-10-01,2021-09-21,95290,Paid
PAY14887,LOAN20776,2025-05-01,2025-05-14,38587.97042,Partial
PAY07280,LOAN21368,2025-01-01,2024-12-26,67257.2,Paid
PAY17238,LOAN21297,2024-04-01,2024-03-29,110651.43,Paid
PAY05868,LOAN21343,2022-09-01,,0,Skipped
PAY03115,LOAN21281,2023-10-01,,0,Skipped
PAY07184,LOAN20462,2025-01-01,,0,Skipped
PAY10175,LOAN21682,2023-06-01,2023-06-03,59887.02165,Partial
PAY17918,LOAN21446,2022-12-01,2022-11-24,126331.93,Paid
PAY14461,LOAN20099,2025-06-01,2025-06-10,44194.93808,Partial
PAY06902,LOAN20263,2023-06-01,2023-07-27,35215.14,Late
PAY14643,LOAN21125,2022-05-01,2022-05-01,84318.14,Paid
PAY00636,LOAN20250,2022-05-01,2022-05-13,45375.19,Late
PAY11214,LOAN20632,2024-11-01,2024-10-28,7107.31,Paid
